job_name,company,location,department,easy_apply,remote,salary,urgently_hiring,company_rating
iCloud Drive - QA Automation Engineer,Apple,Paris,75,False,False,null,False,4.2
iCloud Drive - Senior Software Engineer,Apple,Paris,75,False,False,null,False,4.2
"Recherche travailleur handicap� RQTH d�veloppeur Java, spark...",Innov and Co Diversit�,Fontenay-sous-Bois,94,False,False,null,False,null
Lead Data Architect,Ippon,Paris,75,False,False,null,False,null
CMS Data management & Documentation engineer within PSM orga...,Naurex Group France,France,unknown,False,False,null,False,null
"Data Engineer (SQL, PostgresSQL , Go)",Scaleway,La Maison,21,False,False,null,False,null
Data Engineer-(H/F),Soci�t� G�n�rale,Courbevoie,92,False,False,null,False,3.9
Stagiaire �cole Data Engineer F/H,Caisse nationale des allocations familiales,Rennes,35,True,True,null,False,3.8
Data Engineer H/F,CENISIS,Rennes,35,True,True,null,False,null
Data Engineer H/F,Cr�dit Agricole Leasing & Factoring,Montrouge,92,False,False,null,False,3.9
Stage - Data Engineer polyvalant,Nalia,Paris,75,True,True,null,False,null
Data Engineer H/F,TRANSAVIA FRANCE,Paray-Vieille-Poste,91,True,False,null,False,3.4
Entrepreneur Data Scientist en route pour la Bourgogne,ANGIEL,Saulieu,21,True,True,45 000 � par an,False,null
Data Engineer,Kaisens Data,La D�fense,92,True,True,38 718 � - 57 180 � par an,True,null
Alternance - 2 ans - Big Data Engineer H/F - Charenton le Po...,BPCE SA,Paris,75,False,False,null,False,3.5
Application Technologies UI Intern,Apple,Paris,75,False,False,null,False,4.2
Senior Data engineer - P�le gaming - H/F,EASY PARTNER,Paris,75,False,False,85 000 � par an,False,null
iCloud Drive - Data Analytics Engineer,Apple,Paris,75,False,False,null,False,4.2
Data Engineer on Quality and R&D domains H/F,PSAPeugeotCitroen,V�lizy-Villacoublay,78,False,False,null,False,4.0
Data Engineer H/F,REDLab,Le Petit-Quevilly,76,True,False,null,False,null
Consultant Junior � Data Engineer Technology Transformation...,KPMG,Paris,75,False,False,null,False,4.0
Data Engineer - Paris - CDI - (H/F),Pretto,Paris,75,True,False,null,False,4.0
Data Engineer H/F,Extia,Bordeaux,33,False,False,null,False,3.4
Data Engineer (H/F),Solantis - Consulting Agency,Paris,75,False,False,null,False,null
Data Engineer H/F,Homadata,Paris 10e,75,True,False,null,False,null
Data engineer H/F,PSAPeugeotCitroen,Poissy,78,False,False,null,False,4.0
Machine & Deep Learning Engineer-(H/F),Soci�t� G�n�rale,Fontenay-sous-Bois,94,False,False,null,False,3.9
Data Scientist H/F,Askills,Lyon,69,True,True,35 000 � - 40 000 � par an,False,null
Data Engineer / Scientist (Niort ou Le Mans ou Paris),OMICRONE,Le Mans,72,False,False,null,False,null
Data Steward / Data Engineer,Well&Wiz,Paris 1er,75,True,False,null,False,null
Data Engineer H/F,Devoteam,Lyon,69,False,False,null,False,3.8
ALTERNANCE � Junior Data Engineer - H/F,Naval Group,Nantes,44,False,False,null,False,4.2
Junior Data Scientist,RiverBank S.A.,Paris,75,True,False,null,False,null
UN ALTERNANT - DATA ENGINEER (H/F),Sanofi,Chilly-Mazarin,91,False,False,null,False,4.1
Offre d'alternance Data engineer/Data analyst : Septembre 20...,Enedis,Toulouse,31,False,False,null,False,4.1
D�veloppeur Python / Data Engineer (H/F) - CDI,CPME Paris Ile de France,Paris,75,True,False,null,False,null
Un Data Engineer,PREMISEO,Emmerin,59,False,False,null,False,null
D�veloppeur Data Engineer,ING,France,unknown,False,False,null,False,4.0
Data Engineer / Scientist (Niort ou Le Mans ou Paris),OMICRONE,Le Mans,72,False,False,null,False,null
ALIT GDO - Apprenti(e) Data Engineer H/F,Air Liquide,Paris,75,True,False,null,False,3.8
Cloud Public Engineer,Ippon,Paris,75,False,False,null,False,null
Data Engineer Senior H/F (Lyon),Keyrus,Lyon,69,False,False,null,False,3.6
